GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC13,HC02_EST_VC13,HC03_EST_VC13,HC04_EST_VC13,HC01_EST_VC15,HC02_EST_VC15,HC03_EST_VC15,HC04_EST_VC15
0500000US01001,01001,"Autauga County, Alabama",52475,64417,74573,30101,64414,75214,N,37396
0500000US01003,01003,"Baldwin County, Alabama",50183,61621,70733,28845,67238,78740,88313,39431
0500000US01005,01005,"Barbour County, Alabama",35634,44730,58776,19450,46592,55901,N,27590
0500000US01007,01007,"Bibb County, Alabama",37984,42846,51764,19339,50508,56096,N,27586
0500000US01009,01009,"Blount County, Alabama",44409,51814,60456,23934,54689,61411,68735,30829
0500000US01011,01011,"Bullock County, Alabama",34804,44724,63391,21998,43910,53542,N,28216
0500000US01013,01013,"Butler County, Alabama",31571,39681,56258,17242,43157,51426,N,26370
0500000US01015,01015,"Calhoun County, Alabama",40919,51455,63319,22232,53011,62930,75626,30958
0500000US01017,01017,"Chambers County, Alabama",32835,43342,57639,19709,49088,60997,N,26782
0500000US01019,01019,"Cherokee County, Alabama",34983,45379,53070,17182,50191,59107,N,24370
0500000US01021,01021,"Chilton County, Alabama",41785,51121,61377,23052,56882,65550,N,28829
0500000US01023,01023,"Choctaw County, Alabama",34325,50884,61784,15523,49678,63510,N,22596
0500000US01025,01025,"Clarke County, Alabama",30951,46583,57917,15883,48394,58490,N,26342
0500000US01027,01027,"Clay County, Alabama",35286,42722,52840,17288,45287,53477,N,25775
0500000US01029,01029,"Cleburne County, Alabama",37008,46939,52305,17158,49832,59215,N,25390
0500000US01031,01031,"Coffee County, Alabama",45558,59572,73000,26860,60597,70768,82054,36828
0500000US01033,01033,"Colbert County, Alabama",39914,50733,60183,22293,51466,59703,N,31097
0500000US01035,01035,"Conecuh County, Alabama",24433,33862,46159,15272,37602,45261,N,22495
0500000US01037,01037,"Coosa County, Alabama",32340,43750,51955,19554,42392,50820,N,25064
0500000US01039,01039,"Covington County, Alabama",36256,45223,55237,20804,50674,59804,N,29093
0500000US01041,01041,"Crenshaw County, Alabama",37349,49393,55581,17462,49419,60377,N,24658
0500000US01043,01043,"Cullman County, Alabama",39415,48442,55979,19009,52597,62822,70073,26910
0500000US01045,01045,"Dale County, Alabama",44473,56075,67079,23091,54652,63876,74757,34981
0500000US01047,01047,"Dallas County, Alabama",26494,37748,58158,16778,42895,49917,72373,30142
0500000US01049,01049,"DeKalb County, Alabama",37977,45248,50454,18947,49069,56472,61419,27658
0500000US01051,01051,"Elmore County, Alabama",54159,64642,75999,31231,65767,75422,86641,38363
0500000US01053,01053,"Escambia County, Alabama",31422,36837,51976,16772,43344,49960,64492,25474
0500000US01055,01055,"Etowah County, Alabama",38467,49559,58080,20728,51007,59671,69573,29858
0500000US01057,01057,"Fayette County, Alabama",33144,43833,51231,14684,44881,55399,N,20586
0500000US01059,01059,"Franklin County, Alabama",35450,45476,57410,18891,46795,55542,N,25328
0500000US01061,01061,"Geneva County, Alabama",36268,45188,57180,19136,48370,55909,N,27159
0500000US01063,01063,"Greene County, Alabama",22170,28879,43958,14172,34290,42552,N,20826
0500000US01065,01065,"Hale County, Alabama",30839,39617,55204,17760,45620,53130,N,29658
0500000US01067,01067,"Henry County, Alabama",42926,56516,66265,17397,54401,66545,N,27230
0500000US01069,01069,"Houston County, Alabama",41077,52905,68111,23984,57985,69361,84894,33462
0500000US01071,01071,"Jackson County, Alabama",36874,45543,52981,18877,48964,57318,65262,27286
0500000US01073,01073,"Jefferson County, Alabama",45239,59128,79888,28385,66254,80328,101961,40014
0500000US01075,01075,"Lamar County, Alabama",36021,41102,49057,15948,45088,51794,N,24117
0500000US01077,01077,"Lauderdale County, Alabama",42703,55751,65825,21897,55864,68544,79032,30228
0500000US01079,01079,"Lawrence County, Alabama",40356,49934,59255,22021,52335,60912,N,29749
0500000US01081,01081,"Lee County, Alabama",43641,60270,76851,22850,60778,78412,93782,31242
0500000US01083,01083,"Limestone County, Alabama",49461,60322,73906,25809,67420,78528,N,37319
0500000US01085,01085,"Lowndes County, Alabama",25678,39699,61801,14566,43689,55475,N,19988
0500000US01087,01087,"Macon County, Alabama",30254,41023,60453,18079,42000,51555,N,25305
0500000US01089,01089,"Madison County, Alabama",58203,75885,93621,34313,79837,96346,113213,46941
0500000US01091,01091,"Marengo County, Alabama",33714,48729,62982,16565,53387,68728,N,23348
0500000US01093,01093,"Marion County, Alabama",33819,42199,50737,17229,48407,57142,N,24388
0500000US01095,01095,"Marshall County, Alabama",39473,48717,59380,21169,55108,64745,74241,29399
0500000US01097,01097,"Mobile County, Alabama",43844,53289,69337,25618,59046,68891,84609,37148
0500000US01099,01099,"Monroe County, Alabama",30569,40080,53004,14188,41264,50856,N,20835
0500000US01101,01101,"Montgomery County, Alabama",44830,56916,82767,30561,62568,74500,99721,39368
