PERMIT.NUMBER,OWNER.NAME,OPERATING.NAME,STREET,CITY,STATE,ZIP,ZIP4,COUNTY,full_address,Lat,Lng
AK-S-15000,GLACIER CREEK DISTILLERY LLC,Â,1540 N SHORELINE DR,WASILLA,AK,99654,0,MATANUSKA SUSITNA,1540 N SHORELINE DR WASILLA AK 99654,61.5964033,-149.338887
AK-S-20001,"HIGH MARK DISTILLERY, INC.",Â,37200 THOMAS ST,STERLING,AK,99672,0,Kenai Peninsula Burough,37200 THOMAS ST STERLING AK 99672,60.5201675,-150.8265545
AK-S-20002,ROBERT BORLAND,URSA MAJOR DISTILLING,3738 MARIPOSA LN,FAIRBANKS,AK,99709,0,Fairbanks North Star Borough,3738 MARIPOSA LN FAIRBANKS AK 99709,64.7858935,-148.0317578
AK-S-20003,PORT CHILKOOT DISTILLERY LLC,PORT CHILKOOT DISTILLERY,34 BLACKSMITH ST,HAINES,AK,99827,0,Haines Borough,34 BLACKSMITH ST HAINES AK 99827,59.2282797,-135.4419166
AK-S-20004,PATRICK LEVY,FAIRBANKS DISTILLING COMPANY,410 CUSHMAN ST,FAIRBANKS,AK,99701,0,Fairbanks North Star Borough,410 CUSHMAN ST FAIRBANKS AK 99701,64.8418325,-147.7213082
AK-S-20005,"BIG BEAR ENTERPRISES, LLC. URSA MAJOR DISTILLING",URSA MAJOR DISTILLING,2922 GEORGE PARKS HWY,FAIRBANKS,AK,99709,0,Â,2922 GEORGE PARKS HWY FAIRBANKS AK 99709,64.8492651,-147.9415366
AK-S-20006,ANCHORAGE DISTILLERY LLC,Â,6310 A ST,ANCHORAGE,AK,99518,1821,Â,6310 A ST ANCHORAGE AK 99518,61.1636513,-149.8821662
AK-S-20007,"TWISTER CREEK, LLC",Â,37083 S TALKEETNA SPUR RD,TALKEETNA,AK,99676,0,Matanuska-Susitna Borough,37083 S TALKEETNA SPUR RD TALKEETNA AK 99676,62.1570664,-150.030587
AK-S-20008,SKAGWAY SPIRITS LLC,Â,941 ALASKA ST,SKAGWAY,AK,99840,0,Skagway,941 ALASKA ST SKAGWAY AK 99840,59.4594928,-135.3154955
AK-S-20009,ARCTIC HARVEST LLC,ARCTIC HARVEST,4753 EIELSON FARM RD,NORTH POLE,AK,99705,0,Â,4753 EIELSON FARM RD NORTH POLE AK 99705,64.6613682,-147.1480194
AL-S-20001,"HIGH RIDGE SPIRITS, LLC.",Â,12761 COUNTY ROAD 7,TROY,AL,36081,7131,Bullock,12761 COUNTY ROAD 7 TROY AL 36081,32.018391,-85.8892047
AL-S-20002,"MAD COUNTY WINERY, LLC",Â,"121 CASTLE DR, NW",HUNTSVILLE,AL,35758,0,Madison,"121 CASTLE DR, NW HUNTSVILLE AL 35758",34.7496425,-86.7083553
AL-S-20003,JOHN EMERALD DISTILLING COMPANY LLC,Â,706 N RAILROAD AVE,OPELIKA,AL,36801,0,Lee,706 N RAILROAD AVE OPELIKA AL 36801,32.6491845,-85.3789086
AL-S-20004,"BIG ESCAMBIA SPIRITS, LLC",Â,1185 GOAT FEATHERS LN,ATMORE,AL,36502,0,Escambia,1185 GOAT FEATHERS LN ATMORE AL 36502,31.1428272,-87.367802
AL-S-20005,BLUE PANTS BREWERY LLC,Â,500 LANIER RD,MADISON,AL,35758,0,USA,500 LANIER RD MADISON AL 35758,34.6851568,-86.7389951
AL-S-20006,GIBSON DISTILLING INC.,Â,228 KEELARNEY LN,DOTHAN,AL,36303,0,Houston,228 KEELARNEY LN DOTHAN AL 36303,31.278575,-85.427541
AL-S-20007,"IRONS DISTILLERY, LLC",Â,2211 SEMINOLE DR,HUNTSVILLE,AL,35805,0,Madison,2211 SEMINOLE DR HUNTSVILLE AL 35805,34.7153887,-86.5969858
AL-S-20008,"REDMONT DISTILLING COMPANY, LLC",Â,"2824 A 5TH AVE, S",BIRMINGHAM,AL,35233,0,Jefferson,"2824 A 5TH AVE, S BIRMINGHAM AL 35233",33.5140759,-86.7894924
AL-S-20009,1185 LLC,PS DISTILLING CO,"3024 3RD AVE, S",BIRMINGHAM,AL,35233,3004,Jefferson,"3024 3RD AVE, S BIRMINGHAM AL 35233",33.5171418,-86.7883449
AL-S-20010,OLD BLACK BEAR BREWING COMPANY LLC,Â,212 MAIN ST,MADISON,AL,35758,0,Madison,212 MAIN ST MADISON AL 35758,34.69336,-86.748316
AL-S-20011,"AVONDALE BREWING COMPANY, LLC",Â,4100 3RD AVE S,BIRMINGHAM,AL,35222,0,Â,4100 3RD AVE S BIRMINGHAM AL 35222,33.524028,-86.773718
AL-S-20012,COUCH HILLS LLC,RAVEN ROCK DISTILLERY,,FRUITHURST,AL,36262,0,united states,FRUITHURST AL 36262,33.7309382,-85.4338442
AL-S-20013,"WOLF CREEK DISTILLERIES, L.L.C.",Â,24225 DAW RD,ELBERTA,AL,36530,0,Baldwin,24225 DAW RD ELBERTA AL 36530,30.377638,-87.6115818
AL-S-20014,CHAPLE DISTILLERY LLC,Â,8367 DUNNAVANT RD,LEEDS,AL,35094,0,Jefferson,8367 DUNNAVANT RD LEEDS AL 35094,33.529434,-86.543677
AL-S-20015,"STRAIGHT TO ALE BRANDS, INC.",Â,2610 CLINTON AVE NW,HUNTSVILLE,AL,35805,0,Madison,2610 CLINTON AVE NW HUNTSVILLE AL 35805,34.7246258,-86.5991906
AR-S-15001,LOMBARDI LLC,LOMBARDI COMPANY,3021 E BROADWAY,NORTH LITTLE ROCK,AR,72114,0,PULASKI,3021 E BROADWAY NORTH LITTLE ROCK AR 72114,34.7557,-92.23254
AR-S-15002,"PERNOD RICARD USA BOTTLING, LLC",PERNOD RICARD USA,7401 HIGHWAY 45 S,FORT SMITH,AR,72916,9393,SEBASTIAN,7401 HIGHWAY 45 S FORT SMITH AR 72916,35.312679,-94.385064
AR-S-15003,"ROCK TOWN DISTILLERY, INC.",ROCK TOWN DISTILLERY,1216 E 6TH ST,LITTLE ROCK,AR,72202,2712,PULASKI,1216 E 6TH ST LITTLE ROCK AR 72202,34.7422148,-92.2569258
AR-S-20001,ARKANSAS MOONSHINE INC.,Â,421 BEECH ST,NEWPORT,AR,72112,3905,Jackson,421 BEECH ST NEWPORT AR 72112,35.608478,-91.2809582
AR-S-20002,"WHITE RIVER DISTILLERY, INC.",Â,150 NANCY ST,GASSVILLE,AR,72635,8524,baxter,150 NANCY ST GASSVILLE AR 72635,36.3057625,-92.5216283
AR-S-20003,CORE BREWING AND DISTILLING COMPANY,CORE DISTILLING COMPANY,2470 LOWELL RD,SPRINGDALE,AR,72764,0,Washington,2470 LOWELL RD SPRINGDALE AR 72764,36.206206,-94.1345709
AZ-S-15002,"ONE FIFTY, INC.",Â,1210 W ALAMEDA DR,TEMPE,AZ,85282,3340,MARICOPA,1210 W ALAMEDA DR TEMPE AZ 85282,33.4010986,-111.9576088
AZ-S-15004,"FORWARD BRANDS, LLC.",Â,5202 W LAMAR RD,GLENDALE,AZ,85301,0,MARICOPA,5202 W LAMAR RD GLENDALE AZ 85301,33.5366733,-112.17082
AZ-S-15005,"DESERT DIAMOND DISTILLERY, INC.",Â,4875 OLYMPIC WAY,KINGMAN,AZ,86401,0,MOHAVE,4875 OLYMPIC WAY KINGMAN AZ 86401,35.2588113,-113.9506225
AZ-S-15006,SONORAN SPIRITS LLC,Â,1725 W WILLIAMS DR,PHOENIX,AZ,85027,1332,MARICOPA,1725 W WILLIAMS DR PHOENIX AZ 85027,33.6896223,-112.0963767
AZ-S-15008,"FORWARD BRANDS, LLC.",Â,100 EASY ST,CAREFREE,AZ,85377,0,MARICOPA,100 EASY ST CAREFREE AZ 85377,33.824072,-111.9226583
AZ-S-15010,HAMILTON DISTILLERS GROUP LLC,Â,2106 N FORBES AVE,TUCSON,AZ,85745,0,PIMA,2106 N FORBES AVE TUCSON AZ 85745,32.248143,-110.992386
AZ-S-15011,CASKWERKS DISTILLING CO.,Â,1920 E UNIVERSITY DR,TEMPE,AZ,85281,0,MARICOPA,1920 E UNIVERSITY DR TEMPE AZ 85281,33.42262,-111.904519
AZ-S-20001,ARIZONA SPIRITS LLC,ARIZONA DISTILLING CO.,601 W UNIVERSITY DR,TEMPE,AZ,85281,0,MARICOPA,601 W UNIVERSITY DR TEMPE AZ 85281,33.4215541,-111.947455
AZ-S-20002,LIPSMARK LLC,Â,5235 S KYRENE RD,TEMPE,AZ,85283,1780,MARICOPA,5235 S KYRENE RD TEMPE AZ 85283,33.3769831,-111.944733
AZ-S-20004,"CANYON DIABLO SPIRITS, LLC",CANYON DIABLO SPIRITS,506 N GRANT ST,FLAGSTAFF,AZ,86004,6024,Coconino,506 N GRANT ST FLAGSTAFF AZ 86004,35.1961986,-111.6202985
AZ-S-20005,"ARIZONA CRAFT BEVERAGE, INC.",Â,15 N FOURTH ST,TOMBSTONE,AZ,85638,0,Cochise,15 N FOURTH ST TOMBSTONE AZ 85638,31.7143336,-110.0666035
AZ-S-20006,"FROSTY 3, LLC",O.H.S.O. EATERY + DISTILLERY,15681 N HAYDEN RD,SCOTTSDALE,AZ,85260,0,Maricopa,15681 N HAYDEN RD SCOTTSDALE AZ 85260,33.6276028,-111.8934818
AZ-S-20007,THREE WELLS DISTILLING COMPANY,Â,3780 E 44TH ST,TUCSON,AZ,85713,5700,Pima,3780 E 44TH ST TUCSON AZ 85713,32.1850076,-110.9118756
